date,se,browser,hits
2014-09-22,yandex,chrome,21750311.0
2014-09-23,search,chrome,55352711.0
2014-09-23,yandex,chrome,21131500.0
2014-09-24,search,chrome,54442293.0
2014-09-24,yandex,chrome,20838728.0
2014-09-25,search,chrome,53351156.0
2014-09-25,yandex,chrome,20484567.0
2014-09-26,search,chrome,50797348.0
2014-09-26,yandex,chrome,19316105.0
2014-09-27,search,chrome,45166091.0
2014-09-27,yandex,chrome,16701739.0
2014-09-28,search,chrome,50831181.0
2014-09-28,yandex,chrome,19133086.0
2014-09-29,search,chrome,57021376.0
2014-09-29,yandex,chrome,22012361.0
2014-09-30,search,chrome,56153967.0
2014-09-30,yandex,chrome,21623318.0
2014-10-01,search,chrome,54746813.0
2014-10-01,yandex,chrome,21083205.0
2014-10-02,search,chrome,53555044.0
2014-10-02,yandex,chrome,20450650.0
2014-10-03,search,chrome,51103573.0
2014-10-03,yandex,chrome,19281982.0
2014-10-04,search,chrome,45516547.0
2014-10-04,yandex,chrome,16973137.0
2014-10-05,search,chrome,51770856.0
2014-10-05,yandex,chrome,19518753.0
2014-10-06,search,chrome,57128761.0
2014-10-06,yandex,chrome,21946268.0
2014-10-07,search,chrome,56861966.0
2014-10-07,yandex,chrome,21859550.0
2014-10-08,search,chrome,55694907.0
2014-10-08,yandex,chrome,21191375.0
2014-10-09,search,chrome,54269403.0
2014-10-09,yandex,chrome,20641204.0
2014-10-10,search,chrome,52444870.0
2014-10-10,yandex,chrome,19731026.0
2014-10-11,search,chrome,45288701.0
2014-10-11,yandex,chrome,16707685.0
2014-10-12,search,chrome,52007219.0
2014-10-12,yandex,chrome,19427506.0
2014-10-13,search,chrome,58036143.0
2014-10-13,yandex,chrome,22143017.0
2014-10-14,search,chrome,56796827.0
2014-10-14,yandex,chrome,21522724.0
2014-10-15,search,chrome,55835354.0
2014-10-15,yandex,chrome,21160950.0
2014-10-16,search,chrome,56574767.0
2014-10-16,yandex,chrome,21474971.0
2014-10-17,search,chrome,54721269.0
2014-10-17,yandex,chrome,20777352.0
2014-10-18,search,chrome,48567476.0
2014-10-18,yandex,chrome,17864862.0
2014-10-19,search,chrome,54990554.0
2014-10-19,yandex,chrome,20514417.0
2014-10-20,search,chrome,59623716.0
2014-10-20,yandex,chrome,22702813.0
2014-10-21,search,chrome,59626080.0
2014-10-21,yandex,chrome,22740978.0
2014-10-22,search,chrome,58080930.0
2014-10-22,yandex,chrome,22081867.0
2014-10-23,search,chrome,57680522.0
2014-10-23,yandex,chrome,21776334.0
2014-10-24,search,chrome,56051849.0
2014-10-24,yandex,chrome,21124127.0
2014-10-25,search,chrome,50492027.0
2014-10-25,yandex,chrome,18586090.0
2014-10-26,search,chrome,55121746.0
2014-10-26,yandex,chrome,20544300.0
2014-10-27,search,chrome,60209576.0
2014-10-27,yandex,chrome,22790838.0
2014-10-28,search,chrome,60073674.0
2014-10-28,yandex,chrome,22715354.0
2014-10-29,search,chrome,58905124.0
2014-10-29,yandex,chrome,22354847.0
2014-10-30,search,chrome,57254214.0
2014-10-30,yandex,chrome,21646754.0
2014-10-31,search,chrome,54843455.0
2014-10-31,yandex,chrome,20640734.0
2014-11-01,search,chrome,48010195.0
2014-11-01,yandex,chrome,17534481.0
2014-11-02,search,chrome,51838840.0
2014-11-02,yandex,chrome,18715815.0
2014-11-03,search,chrome,54211460.0
2014-11-03,yandex,chrome,19725005.0
2014-11-04,search,chrome,56914296.0
2014-11-04,yandex,chrome,21030064.0
2014-11-05,search,chrome,61479570.0
2014-11-05,yandex,chrome,23612066.0
2014-11-06,search,chrome,60366767.0
2014-11-06,yandex,chrome,23007821.0
2014-11-07,search,chrome,58406165.0
2014-11-07,yandex,chrome,22162457.0
2014-11-08,search,chrome,52821393.0
2014-11-08,yandex,chrome,19668392.0
2014-11-09,search,chrome,58356120.0
2014-11-09,yandex,chrome,21943878.0
2014-11-10,search,chrome,62599041.0
2014-11-10,yandex,chrome,23786440.0
2014-11-11,search,chrome,61891705.0
2014-11-11,yandex,chrome,23362365.0
2014-11-12,search,chrome,60882199.0
2014-11-12,yandex,chrome,23024159.0
2014-11-13,search,chrome,60325166.0
2014-11-13,yandex,chrome,22890595.0
2014-11-14,search,chrome,58135229.0
2014-11-14,yandex,chrome,21780035.0
2014-11-15,search,chrome,52179036.0
2014-11-15,yandex,chrome,19263117.0
2014-11-16,search,chrome,58993903.0
2014-11-16,yandex,chrome,21985489.0
2014-11-17,search,chrome,63441458.0
2014-11-17,yandex,chrome,23940133.0
2014-11-18,search,chrome,62691924.0
2014-11-18,yandex,chrome,23674389.0
2014-11-19,search,chrome,62074287.0
2014-11-19,yandex,chrome,23317733.0
2014-11-20,search,chrome,61016902.0
2014-11-20,yandex,chrome,23065789.0
2014-11-21,search,chrome,58488192.0
2014-11-21,yandex,chrome,21782260.0
2014-11-22,search,chrome,52881704.0
2014-11-22,yandex,chrome,19147514.0
2014-11-23,search,chrome,59123762.0
2014-11-23,yandex,chrome,21585931.0
2014-11-24,search,chrome,64352919.0
2014-11-24,yandex,chrome,24043722.0
2014-11-25,search,chrome,63264276.0
2014-11-25,yandex,chrome,23519005.0
2014-11-26,search,chrome,62545730.0
2014-11-26,yandex,chrome,23420340.0
2014-11-27,search,chrome,62178368.0
2014-11-27,yandex,chrome,23281520.0
2014-11-28,search,chrome,60147158.0
2014-11-28,yandex,chrome,22354717.0
2014-11-29,search,chrome,54604827.0
2014-11-29,yandex,chrome,19852891.0
2014-11-30,search,chrome,61835496.0
2014-11-30,yandex,chrome,22754320.0
2014-12-01,search,chrome,64529472.0
2014-12-01,yandex,chrome,24363496.0
2014-12-02,search,chrome,65014785.0
2014-12-02,yandex,chrome,24599833.0
2014-12-03,search,chrome,63900442.0
2014-12-03,yandex,chrome,24083034.0
2014-12-04,search,chrome,64177665.0
2014-12-04,yandex,chrome,23953839.0
2014-12-05,search,chrome,61045141.0
2014-12-05,yandex,chrome,22530969.0
2014-12-06,search,chrome,55472031.0
2014-12-06,yandex,chrome,19921913.0
2014-12-07,search,chrome,61660836.0
2014-12-07,yandex,chrome,22459935.0
2014-12-08,search,chrome,66675023.0
2014-12-08,yandex,chrome,24740209.0
2014-12-09,search,chrome,0.0
2014-12-09,yandex,chrome,0.0
2014-12-10,search,chrome,0.0
2014-12-10,yandex,chrome,0.0
2014-12-11,search,chrome,0.0
2014-12-11,yandex,chrome,0.0
2014-12-12,search,chrome,0.0
2014-12-12,yandex,chrome,0.0
2014-12-13,search,chrome,0.0
2014-12-13,yandex,chrome,0.0
2014-12-14,search,chrome,0.0
2014-12-14,yandex,chrome,0.0
2014-12-15,search,chrome,0.0
2014-12-15,yandex,chrome,0.0
2014-12-16,search,chrome,0.0
